name,nuts
Piemonte,ITC1
Valle d'Aosta,ITC2
Liguria,ITC3
Lombardia,ITC4
Abruzzo,ITF1
Molise,ITF2
Campania,ITF3
Puglia,ITF4
Basilicata,ITF5
Calabria,ITF6
Sicilia,ITG1
Sardegna,ITG2
P.A. Bolzano,ITH10
P.A. Trento,ITH20
Veneto,ITH3
Friuli Venezia Giulia,ITH4
Emilia-Romagna,ITH5
Toscana,ITI1
Umbria,ITI2
Marche,ITI3
Lazio,ITI4
Dolnośląskie,PL51
Kujawsko-Pomorskie,PL61
Lubelskie,PL81
Lubuskie,PL43
Mazowieckie,PL9
Małopolskie,PL21
Opolskie,PL52
Podkarpackie,PL82
Podlaskie,PL84
Pomorskie,PL63
Warmińsko-Mazurskie,PL62
Wielkopolskie,PL41
Zachodniopomorskie,PL42
Łódzkie,PL71
Śląskie,PL22
Świętokrzyskie,PL72