country,date,ratio
CZE,2020-01-23,0.0
CZE,2020-01-24,0.0
CZE,2020-01-25,0.0
CZE,2020-01-26,0.0
CZE,2020-01-27,1.8702182610168246e-06
CZE,2020-01-28,7.480873044067299e-07
CZE,2020-01-29,4.6755456525420615e-07
CZE,2020-01-30,9.351091305084123e-08
CZE,2020-01-31,2.805327391525237e-07
CZE,2020-02-01,9.351091305084123e-08
CZE,2020-02-02,4.6755456525420615e-07
CZE,2020-02-03,4.6755456525420615e-07
CZE,2020-02-04,4.6755456525420615e-07
CZE,2020-02-05,0.0
CZE,2020-02-06,2.805327391525237e-07
CZE,2020-02-07,5.610654783050474e-07
CZE,2020-02-08,0.0
CZE,2020-02-09,1.8702182610168246e-07
CZE,2020-02-10,7.480873044067299e-07
CZE,2020-02-11,1.8702182610168246e-07
CZE,2020-02-12,9.351091305084123e-08
CZE,2020-02-13,9.351091305084123e-08
CZE,2020-02-14,0.0
CZE,2020-02-15,9.351091305084123e-08
CZE,2020-02-16,9.351091305084123e-08
CZE,2020-02-17,1.8702182610168246e-07
CZE,2020-02-18,0.0
CZE,2020-02-19,1.8702182610168246e-07
CZE,2020-02-20,0.0
CZE,2020-02-21,0.0
CZE,2020-02-22,9.351091305084123e-08
CZE,2020-02-23,2.805327391525237e-07
CZE,2020-02-24,1.1221309566100948e-06
CZE,2020-02-25,1.3091527827117772e-06
CZE,2020-02-26,2.150751000169348e-06
CZE,2020-02-27,3.272881956779443e-06
CZE,2020-02-28,2.150751000169348e-06
CZE,2020-02-29,6.545763913558886e-07
CZE,2020-03-01,1.0286200435592535e-06
CZE,2020-03-02,4.769056565592902e-06
CZE,2020-03-03,7.293851217965616e-06
CZE,2020-03-04,6.265231174406363e-06
CZE,2020-03-05,7.106829391863934e-06
CZE,2020-03-06,1.0379711348643376e-05
CZE,2020-03-07,1.8047606218812357e-05
CZE,2020-03-08,1.3185038740168613e-05
CZE,2020-03-09,2.4780391958472925e-05
CZE,2020-03-10,1.5429300653388803e-05
CZE,2020-03-11,4.282799817728528e-05
CZE,2020-03-12,5.021536030830174e-05
CZE,2020-03-13,7.901672152796084e-05
CZE,2020-03-14,9.220176026812945e-05
CZE,2020-03-15,9.612921861626478e-05
CZE,2020-03-16,0.00012334089431405957
CZE,2020-03-17,0.00012100312148778855
CZE,2020-03-18,0.0001642051633172772
CZE,2020-03-19,0.00021124115258185034
CZE,2020-03-20,0.00019833664658083425
CZE,2020-03-21,0.0001759875383616832
CZE,2020-03-22,0.00016841315440456505
CZE,2020-03-23,0.00021423350179947725
CZE,2020-03-24,0.00028633041576167585
CZE,2020-03-25,0.0003840493198998049
CZE,2020-03-26,0.0004332360601645474
CZE,2020-03-27,0.0005011249830394581
CZE,2020-03-28,0.00039499009672675335
CZE,2020-03-29,0.0002663190803687958
CZE,2020-03-30,0.0004824228004292899
CZE,2020-03-31,0.0006228761918316534
CZE,2020-04-01,0.0005706035914362331
CZE,2020-04-02,0.0006239983227882635
CZE,2020-04-03,0.0006917937347501234
CZE,2020-04-04,0.0005458231994777602
CZE,2020-04-05,0.00044997451360064797
CZE,2020-04-06,0.0006017427254821633
CZE,2020-04-07,0.0007642646923645254
CZE,2020-04-08,0.0007919439226275744
CZE,2020-04-09,0.0007649192687558812
CZE,2020-04-10,0.0005331992262158966
CZE,2020-04-11,0.00045736187573166447
CZE,2020-04-12,0.00030391046741523397
CZE,2020-04-13,0.00030063758545845453
CZE,2020-04-14,0.0005772428662628429
CZE,2020-04-15,0.0007925984990189303
CZE,2020-04-16,0.0007837149622791003
CZE,2020-04-17,0.0007750184473653721
CZE,2020-04-18,0.000524128667649965
CZE,2020-04-19,0.0003765684468557376
CZE,2020-04-20,0.0006140861660048744
CZE,2020-04-21,0.0007799745257570667
CZE,2020-04-22,0.0008245792312823179
CZE,2020-04-23,0.0007388297240146966
CZE,2020-04-24,0.0006666392991394472
CZE,2020-04-25,0.0004157495194240401
CZE,2020-04-26,0.0003161603970248942
CZE,2020-04-27,0.0007250836197962229
CZE,2020-04-28,0.0008173788909774032
CZE,2020-04-29,0.0006846869053582595
CZE,2020-04-30,0.0006916067129240217
CZE,2020-05-01,0.000420518575989633
CZE,2020-05-02,0.00036328989720251816
CZE,2020-05-03,0.0003629158535503148
CZE,2020-05-04,0.0007252706416223246
CZE,2020-05-05,0.0008774128971560433
CZE,2020-05-06,0.0007529498718853736
CZE,2020-05-07,0.0007105894282733425
CZE,2020-05-08,0.0004217342178592939
CZE,2020-05-09,0.00035421933863658656
CZE,2020-05-10,0.0003789062196820087
CZE,2020-05-11,0.0007302267200140192
CZE,2020-05-12,0.0008186880437601149
CZE,2020-05-13,0.0007188183886218166
CZE,2020-05-14,0.0006454123218769061
CZE,2020-05-15,0.000634939099615212
CZE,2020-05-16,0.00039246530207438064
CZE,2020-05-17,0.0003322442740696389
CZE,2020-05-18,0.0006974043895331739
CZE,2020-05-19,0.0007795069711918125
CZE,2020-05-20,0.0007030150443162244
CZE,2020-05-21,0.0006816945561406325
CZE,2020-05-22,0.0007245225543179179
CZE,2020-05-23,0.0004730717091242058
CZE,2020-05-24,0.00035992350433268787
CZE,2020-05-25,0.000702079935185716
CZE,2020-05-26,0.0006771125214011413
CZE,2020-05-27,0.000640175710746059
CZE,2020-05-28,0.0005622811201747083
CZE,2020-05-29,0.0005716322114797924
CZE,2020-05-30,0.00033177671950438466
CZE,2020-05-31,0.00020020686484185107
CZE,2020-06-01,0.0005349759335638626
CZE,2020-06-02,0.0006057636947433495
CZE,2020-06-03,0.0004968234810391194
CZE,2020-06-04,0.0004685831852977654
CZE,2020-06-05,0.0003902210401611604
CZE,2020-06-06,0.00020104846305930865
CZE,2020-06-07,0.0001988977120591393
CZE,2020-06-08,0.0004380051167301403
CZE,2020-06-09,0.0004256616762074293
CZE,2020-06-10,0.0003804023942908221
CZE,2020-06-11,0.00034963730389709534
CZE,2020-06-12,0.0003484216620274344
CZE,2020-06-13,0.0001544800283599897
CZE,2020-06-14,0.00010482573352999301
CZE,2020-06-15,0.0003434655836357398
CZE,2020-06-16,0.00037619440320353425
CZE,2020-06-17,0.0003774100450731952
CZE,2020-06-18,0.00041172855016285395
CZE,2020-06-19,0.00033420800324370653
CZE,2020-06-20,0.00015887504127337924
CZE,2020-06-21,0.00012277982883575453
CZE,2020-06-22,0.0003656276700287892
CZE,2020-06-23,0.0004270643399031919
CZE,2020-06-24,0.00040088128424895636
CZE,2020-06-25,0.00037843866511675446
CZE,2020-06-26,0.0004238849688594633
CZE,2020-06-27,0.0002388268719318485
CZE,2020-06-28,0.0002265769423221883
CZE,2020-06-29,0.0004193964450330229
CZE,2020-06-30,0.0004125701483803115
CZE,2020-07-01,0.0004294956236425138
CZE,2020-07-02,0.00043622840938217436
CZE,2020-07-03,0.0004777472547767478
CZE,2020-07-04,0.00015775291031676917
CZE,2020-07-05,0.00014251063148948203
CZE,2020-07-06,0.00016027770496914186
CZE,2020-07-07,0.0003889118873784487
CZE,2020-07-08,0.0005055199959528477
CZE,2020-07-09,0.00043781809490403865
CZE,2020-07-10,0.0004986936993001363
CZE,2020-07-11,0.0002170388291910025
CZE,2020-07-12,0.00016710400162185326
CZE,2020-07-13,0.0004136922793369216
CZE,2020-07-14,0.0004490394044701396
CZE,2020-07-15,0.00043894022586064873
CZE,2020-07-16,0.000442306618730479
CZE,2020-07-17,0.0004420260859913265
CZE,2020-07-18,0.00021825447106066343
CZE,2020-07-19,0.00017112497088303945
CZE,2020-07-20,0.0005409606319991165
CZE,2020-07-21,0.0005693879495665723
CZE,2020-07-22,0.0006180136243530097
CZE,2020-07-23,0.0005196401438235247
CZE,2020-07-24,0.0005833210756111476
CZE,2020-07-25,0.0003120459168506572
CZE,2020-07-26,0.00016682346888270076
CZE,2020-07-27,0.0006126835023091118
CZE,2020-07-28,0.0007395778113191033
CZE,2020-07-29,0.0007021734460987668
CZE,2020-07-30,0.0007128336901865627
CZE,2020-07-31,0.0007673505524952031
CZE,2020-08-01,0.00044015586773030966
CZE,2020-08-02,0.0002475233868455767
CZE,2020-08-03,0.0007243355324918162
CZE,2020-08-04,0.0007868008224097781
CZE,2020-08-05,0.0006494332911380923
CZE,2020-08-06,0.0006884273418802931
CZE,2020-08-07,0.0008608614655460444
CZE,2020-08-08,0.000515338641823186
CZE,2020-08-09,0.0002737999534128631
CZE,2020-08-10,0.0006062312493086036
CZE,2020-08-11,0.0008128903671509628
CZE,2020-08-12,0.0007407934531887642
CZE,2020-08-13,0.0006931028875328352
CZE,2020-08-14,0.0007479002825806282
CZE,2020-08-15,0.0004781212984289512
CZE,2020-08-16,0.00027856900997845605
CZE,2020-08-17,0.0006781411414447006
CZE,2020-08-18,0.000719098921360969
CZE,2020-08-19,0.0007158260394041896
CZE,2020-08-20,0.0007703429017128301
CZE,2020-08-21,0.00090817798754977
CZE,2020-08-22,0.0004785888529942054
CZE,2020-08-23,0.0002248002349742223
CZE,2020-08-24,0.0006931963984458861
CZE,2020-08-25,0.0008194361310645216
CZE,2020-08-26,0.0008308444624567244
CZE,2020-08-27,0.0008601133782416376
CZE,2020-08-28,0.0010123491446884072
CZE,2020-08-29,0.0006146472314831794
CZE,2020-08-30,0.0003689940628986195
CZE,2020-08-31,0.0008762907661994332
CZE,2020-09-01,0.0010414310386472187
CZE,2020-09-02,0.001104363883130435
CZE,2020-09-03,0.0010792094475197587
CZE,2020-09-04,0.0012767980067961862
CZE,2020-09-05,0.0006983394986636823
CZE,2020-09-06,0.00042425901251166663
CZE,2020-09-07,0.0010851006350419616
CZE,2020-09-08,0.0015069283638143064
CZE,2020-09-09,0.001449980217766344
CZE,2020-09-10,0.0015441457072085413
CZE,2020-09-11,0.0017969992160980159
CZE,2020-09-12,0.0012452848290980527
CZE,2020-09-13,0.0006629923735304643
CZE,2020-09-14,0.0016382176857376875
CZE,2020-09-15,0.0019133267919332624
CZE,2020-09-16,0.0019251091669776684
CZE,2020-09-17,0.0022060159497823955
CZE,2020-09-18,0.0020179655036371537
CZE,2020-09-19,0.0014242647166773628
CZE,2020-09-20,0.0009875687527299342
CZE,2020-09-21,0.0018150468223168282
CZE,2020-09-22,0.0020946444523388436
CZE,2020-09-23,0.0020988524434261313
CZE,2020-09-24,0.0021659932789966354
CZE,2020-09-25,0.002163094440692059
CZE,2020-09-26,0.0014389459300263448
CZE,2020-09-27,0.000978872237816206
CZE,2020-09-28,0.0011425163356551782
CZE,2020-09-29,0.001713400459830564
CZE,2020-09-30,0.0019723321780683433
CZE,2020-10-01,0.0022368745510891732
CZE,2020-10-02,0.0022105044736088356
CZE,2020-10-03,0.0014214593892858374
CZE,2020-10-04,0.0007271408598833414
CZE,2020-10-05,0.001661501903087347
CZE,2020-10-06,0.002154958991256636
CZE,2020-10-07,0.002246132131481206
CZE,2020-10-08,0.002344599122923742
CZE,2020-10-09,0.0025942732607694883
CZE,2020-10-10,0.0016947917881334465
CZE,2020-10-11,0.0010757495437368775
CZE,2020-10-12,0.0020617286109449475
CZE,2020-10-13,0.002958498267102515
CZE,2020-10-14,0.0032596969180392742
CZE,2020-10-15,0.0032547408396475797
CZE,2020-10-16,0.003621023086067725
CZE,2020-10-17,0.0027379060232155805
CZE,2020-10-18,0.0016121281409965029
CZE,2020-10-19,0.0029142676052294667
CZE,2020-10-20,0.0037962625371250015
CZE,2020-10-21,0.004230901260985311
CZE,2020-10-22,0.004341244138385304
CZE,2020-10-23,0.004231555837376668
CZE,2020-10-24,0.0036648797042885695
CZE,2020-10-25,0.0020191811455068146
CZE,2020-10-26,0.0033287079718707954
CZE,2020-10-27,0.004441581348088856
CZE,2020-10-28,0.0037519383643389026
CZE,2020-10-29,0.003981414144965667
CZE,2020-10-30,0.004378367970866488
CZE,2020-10-31,0.003394072100093333
CZE,2020-11-01,0.0019303457781085155
CZE,2020-11-02,0.0030604251623279318
CZE,2020-11-03,0.004051547329753798
CZE,2020-11-04,0.004253250369204462
CZE,2020-11-05,0.004042757303927019
CZE,2020-11-06,0.0037708275687751724
CZE,2020-11-07,0.0024540068911932263
CZE,2020-11-08,0.0012836243034488977
CZE,2020-11-09,0.0028489969879199797
CZE,2020-11-10,0.003485525773057056
CZE,2020-11-11,0.0030800624540686084
CZE,2020-11-12,0.0029151092034469246
CZE,2020-11-13,0.002926611045752178
CZE,2020-11-14,0.0015142222150322721
CZE,2020-11-15,0.0008434684357185878
CZE,2020-11-16,0.0024375489704962783
CZE,2020-11-17,0.0016448569605642973
CZE,2020-11-18,0.002293916208050186
CZE,2020-11-19,0.0024971154221096643
CZE,2020-11-20,0.0024176311460164493
CZE,2020-11-21,0.0013637631559334684
CZE,2020-11-22,0.0006760839013575821
CZE,2020-11-23,0.0022124682027829033
CZE,2020-11-24,0.0023032672993552705
CZE,2020-11-25,0.002118022180601554
CZE,2020-11-26,0.0019220233068469907
CZE,2020-11-27,0.0021876878108244304
CZE,2020-11-28,0.0011522414706124657
CZE,2020-11-29,0.0006031453891779259
CZE,2020-11-30,0.002082113989990031
CZE,2020-12-01,0.002167957008170703
CZE,2020-12-02,0.0021198923988625705
CZE,2020-12-03,0.0019381071838917353
CZE,2020-12-04,0.0021298980665590108
CZE,2020-12-05,0.0012141456950521224
CZE,2020-12-06,0.000626055562875382
CZE,2020-12-07,0.002142615550733925
CZE,2020-12-08,0.002449518367366786
CZE,2020-12-09,0.002362833750968656
CZE,2020-12-10,0.002391167557623061
CZE,2020-12-11,0.002661788139992196
CZE,2020-12-12,0.001504310058248883
CZE,2020-12-13,0.0008393539555443508
CZE,2020-12-14,0.00246663086445509
CZE,2020-12-15,0.0030087136274108165
CZE,2020-12-16,0.0030383565868479334
CZE,2020-12-17,0.002927172111230483
CZE,2020-12-18,0.003181054240163517
CZE,2020-12-19,0.001995990439070206
CZE,2020-12-20,0.0010845395695636565
CZE,2020-12-21,0.002761564284217443
CZE,2020-12-22,0.0033933240127889267
CZE,2020-12-23,0.003915021396699569
CZE,2020-12-24,0.001001782411513662
CZE,2020-12-25,0.0007311618291445276
CZE,2020-12-26,0.0008149476072380813
CZE,2020-12-27,0.0009802749015119685
CZE,2020-12-28,0.0026371012589467735
CZE,2020-12-29,0.0033734061883090973
CZE,2020-12-30,0.003314120269434864
CZE,2020-12-31,0.0026095155395967754
CZE,2021-01-01,0.0006156758515267387
CZE,2021-01-02,0.0012576282696207637
CZE,2021-01-03,0.0014327742097649894
CZE,2021-01-04,0.0032894333883894417
CZE,2021-01-05,0.004096526078931253
CZE,2021-01-06,0.0036472061417219606
CZE,2021-01-07,0.0036443073034173844
CZE,2021-01-08,0.0036237349025461992
CZE,2021-01-09,0.0019710230252856314
CZE,2021-01-10,0.0011516804051341606
CZE,2021-01-11,0.0031782489127719915
CZE,2021-01-12,0.0033995892439633328
CZE,2021-01-13,0.003026761233629629
CZE,2021-01-14,0.002824777661439812
CZE,2021-01-15,0.0029163248453165855
CZE,2021-01-16,0.001626061267041078
CZE,2021-01-17,0.0008261689168041822
CZE,2021-01-18,0.0027866252089150684
CZE,2021-01-19,0.002972524904060141
CZE,2021-01-20,0.0026737575368627033
CZE,2021-01-21,0.002350583821358996
CZE,2021-01-22,0.0028418901585281157
CZE,2021-01-23,0.00132168324506059
CZE,2021-01-24,0.000737333549405883
CZE,2021-01-25,0.0025492010006789825
CZE,2021-01-26,0.0027532418129559183
CZE,2021-01-27,0.0028507736952679457
CZE,2021-01-28,0.002414171242233568
CZE,2021-01-29,0.002929603394969805
CZE,2021-01-30,0.0013489884316714355
CZE,2021-01-31,0.0007130207120126644
CZE,2021-02-01,0.0025710825543328797
CZE,2021-02-02,0.0028037377060033727
CZE,2021-02-03,0.0029732729913645476
CZE,2021-02-04,0.0025942732607694883
CZE,2021-02-05,0.0029168859107948906
CZE,2021-02-06,0.0013932190935444834
CZE,2021-02-07,0.0007311618291445276
CZE,2021-02-08,0.0023899519157534
CZE,2021-02-09,0.0029339048969701438
CZE,2021-02-10,0.0027985946057855764
CZE,2021-02-11,0.0026396260535991463
CZE,2021-02-12,0.002904168426619976
CZE,2021-02-13,0.001539002606990745
CZE,2021-02-14,0.0007842760277574054
CZE,2021-02-15,0.002721074058866429
CZE,2021-02-16,0.0032299604476891067
CZE,2021-02-17,0.0030653812407196264
CZE,2021-02-18,0.0031861973403813134
CZE,2021-02-19,0.0035069397721456987
CZE,2021-02-20,0.0017583792090080184
CZE,2021-02-21,0.0008950864597226522
CZE,2021-02-22,0.003166747070466738
CZE,2021-02-23,0.003651788176461452
ITA,2020-01-22,0.0
ITA,2020-01-23,0.0
ITA,2020-01-24,0.0
ITA,2020-01-25,0.0
ITA,2020-01-26,0.0
ITA,2020-01-27,0.0
ITA,2020-01-28,0.0
ITA,2020-01-29,0.0
ITA,2020-01-30,0.0
ITA,2020-01-31,0.0
ITA,2020-02-01,0.0
ITA,2020-02-02,0.0
ITA,2020-02-03,0.0
ITA,2020-02-04,0.0
ITA,2020-02-05,0.0
ITA,2020-02-06,0.0
ITA,2020-02-07,0.0
ITA,2020-02-08,0.0
ITA,2020-02-09,0.0
ITA,2020-02-10,0.0
ITA,2020-02-11,0.0
ITA,2020-02-12,0.0
ITA,2020-02-13,0.0
ITA,2020-02-14,0.0
ITA,2020-02-15,0.0
ITA,2020-02-16,0.0
ITA,2020-02-17,0.0
ITA,2020-02-18,0.0
ITA,2020-02-19,0.0
ITA,2020-02-20,0.0
ITA,2020-02-21,0.0
ITA,2020-02-22,0.0
ITA,2020-02-23,0.0
ITA,2020-02-24,7.249986787720655e-05
ITA,2020-02-25,7.208069657819403e-05
ITA,2020-02-26,1.6163245289923014e-05
ITA,2020-02-27,4.069314970813606e-05
ITA,2020-02-28,6.171878206660437e-05
ITA,2020-02-29,4.973048291484612e-05
ITA,2020-03-01,4.13470569345956e-05
ITA,2020-03-02,3.718887764839134e-05
ITA,2020-03-03,4.2101565272818146e-05
ITA,2020-03-04,6.674883765475469e-05
ITA,2020-03-05,4.233630120026516e-05
ITA,2020-03-06,6.70171072861227e-05
ITA,2020-03-07,9.56213567307375e-05
ITA,2020-03-08,0.00013203895918894578
ITA,2020-03-09,6.520628727438859e-05
ITA,2020-03-10,0.0001162781183460748
ITA,2020-03-11,0.00020779159634648955
ITA,2020-03-12,0.00021557141565616204
ITA,2020-03-13,0.0001924331599506706
ITA,2020-03-14,0.0001958703646025733
ITA,2020-03-15,0.00026372581448672104
ITA,2020-03-16,0.00021902538716002526
ITA,2020-03-17,0.00017932148171755875
ITA,2020-03-18,0.0002830915285010998
ITA,2020-03-19,0.0002889934603911961
ITA,2020-03-20,0.00040423203391571987
ITA,2020-03-21,0.00044157181323175573
ITA,2020-03-22,0.0004221893323654165
ITA,2020-03-23,0.00028614309555791096
ITA,2020-03-24,0.0003604202497429306
ITA,2020-03-25,0.0004607698587265294
ITA,2020-03-26,0.000613918284533746
ITA,2020-03-27,0.0005536246848837843
ITA,2020-03-28,0.0005943346014438808
ITA,2020-03-29,0.0004108549404401178
ITA,2020-03-30,0.00039115388938652904
ITA,2020-03-31,0.0004964497196984757
ITA,2020-04-01,0.0005777018842990638
ITA,2020-04-02,0.0006674716096955864
ITA,2020-04-03,0.0006474855221586691
ITA,2020-04-04,0.0006266610920237269
ITA,2020-04-05,0.0005740467105716746
ITA,2020-04-06,0.0005075493756963274
ITA,2020-04-07,0.000565260880144372
ITA,2020-04-08,0.0008665109093186944
ITA,2020-04-09,0.0007753663020614107
ITA,2020-04-10,0.0008969427456270038
ITA,2020-04-11,0.000949154722632004
ITA,2020-04-12,0.0007833473235946092
ITA,2020-04-13,0.0006156285034337171
ITA,2020-04-14,0.0004489995286502577
ITA,2020-04-15,0.0007329629334533036
ITA,2020-04-16,0.0010227612027386038
ITA,2020-04-17,0.0011016660080647217
ITA,2020-04-18,0.0010349339372619274
ITA,2020-04-19,0.0008502135292130874
ITA,2020-04-20,0.0006955393198774651
ITA,2020-04-21,0.0008739889252930779
ITA,2020-04-22,0.001058005125559577
ITA,2020-04-23,0.0011176448179830792
ITA,2020-04-24,0.0010470396043774093
ITA,2020-04-25,0.0010963341491412822
ITA,2020-04-26,0.0008369341824603705
ITA,2020-04-27,0.0005365895632919151
ITA,2020-04-28,0.0009602711454818163
ITA,2020-04-29,0.0010701778600829006
ITA,2020-04-30,0.0011477916178080601
ITA,2020-05-01,0.001244234550284862
ITA,2020-05-02,0.0009290848008352843
ITA,2020-05-03,0.0007534184928451148
ITA,2020-05-04,0.0006309534061256151
ITA,2020-05-05,0.0009265865398931696
ITA,2020-05-06,0.0010774882075376792
ITA,2020-05-07,0.0011796989370888935
ITA,2020-05-08,0.0010693059837809547
ITA,2020-05-09,0.0011597799169598183
ITA,2020-05-10,0.0008664773756147734
ITA,2020-05-11,0.0006830815488708128
ITA,2020-05-12,0.001123429381909452
ITA,2020-05-13,0.0010390921165481317
ITA,2020-05-14,0.0012051342515129737
ITA,2020-05-15,0.0011430968992591198
ITA,2020-05-16,0.0011599140517755022
ITA,2020-05-17,0.0010077045696780737
ITA,2020-05-18,0.0006104140124740013
ITA,2020-05-19,0.0010589608361213255
ITA,2020-05-20,0.0011266486174858683
ITA,2020-05-21,0.001201831181676755
ITA,2020-05-22,0.0012638853007825694
ITA,2020-05-23,0.0012140877504598813
ITA,2020-05-24,0.0009359927438430108
